TIME, SPEED_CMD (kph), RPM_CMD, FUEL_LEVEL_CMD (%), ABSOLUTE_LOAD_CMD (%), ENGINE_LOAD_CMD (%), RELATIVE_THROTTLE_POS_CMD (%), THROTTLE_POS_B_CMD (%),
1537303706,6,906.5,31.37254902,56.8627451,29.80392157,9.411764706,21.56862745, 
1537303708,12,1622,31.37254902,26.66666667,12.94117647,5.882352941,16.47058824, 
1537303709,12,911,31.37254902,57.64705882,30.19607843,10.58823529,21.17647059, 
1537303711,16,1118,31.37254902,38.82352941,19.60784314,6.274509804,16.8627451, 
1537303712,16,1139,31.37254902,26.66666667,13.33333333,5.490196078,16.07843137, 
1537303714,15,1127.5,31.37254902,23.1372549,12.15686275,4.31372549,14.90196078, 
1537303715,16,1141,31.37254902,20.78431373,10.58823529,3.921568627,14.50980392, 
1537303716,16,1201,31.37254902,39.60784314,20.78431373,7.843137255,18.03921569, 
1537303718,18,1255,31.37254902,17.25490196,9.019607843,3.529411765,14.11764706, 
1537303719,18,1229.5,31.37254902,14.50980392,6.666666667,2.352941176,12.94117647, 
1537303721,17,1196.5,31.37254902,15.68627451,8.235294118,3.137254902,13.7254902, 
1537303722,17,1180.5,31.37254902,18.43137255,10.19607843,3.921568627,14.50980392, 
1537303724,15,1106,31.37254902,35.29411765,19.21568627,6.274509804,18.43137255, 
1537303725,17,1251,31.37254902,54.50980392,29.01960784,10.98039216,22.35294118, 
1537303726,23,1677.5,31.37254902,58.82352941,31.37254902,12.94117647,23.1372549, 
1537303728,30,1996.5,31.37254902,18.03921569,7.843137255,4.705882353,15.29411765, 
1537303729,29,1962.5,31.37254902,13.7254902,7.058823529,3.529411765,14.11764706, 
1537303731,27,1841,31.37254902,14.11764706,7.450980392,3.921568627,14.50980392, 
1537303732,23,1562.5,31.37254902,14.50980392,7.450980392,3.137254902,13.33333333, 
1537303734,16,1109,31.37254902,20,10.58823529,3.529411765,14.11764706, 
1537303735,13,932.5,31.37254902,31.76470588,18.43137255,5.490196078,16.07843137, 
1537303736,15,1101,31.37254902,69.01960784,41.96078431,13.7254902,25.09803922, 
1537303738,21,1453.5,31.37254902,72.15686275,45.88235294,13.33333333,23.92156863, 
1537303740,27,1851,31.37254902,40,22.74509804,8.235294118,18.82352941, 
1537303741,25,1728,31.37254902,14.11764706,8.235294118,3.137254902,13.7254902, 
1537303742,21,1410.5,31.37254902,13.7254902,7.843137255,2.352941176,12.94117647, 
1537303744,15,853.5,31.37254902,27.84313725,14.50980392,3.921568627,14.50980392, 
1537303745,15,1032,31.37254902,71.76470588,37.64705882,49.80392157,88.23529412, 
1537303747,21,1449,31.37254902,60.39215686,31.76470588,10.19607843,20.78431373, 
1537303748,23,1634,31.37254902,38.03921569,19.21568627,8.62745098,19.21568627, 
1537303750,25,1708,31.37254902,51.76470588,25.88235294,11.37254902,21.96078431, 
1537303751,27,1882.5,31.37254902,41.96078431,21.96078431,9.411764706,19.60784314, 
1537303753,28,1940.5,31.37254902,36.07843137,18.43137255,8.62745098,19.21568627, 
1537303754,28,1948,31.37254902,31.76470588,16.8627451,8.235294118,19.21568627, 
1537303755,28,1942.5,31.37254902,40.78431373,21.17647059,10.98039216,21.56862745, 
1537303757,28,1952.5,31.37254902,44.70588235,23.1372549,11.37254902,21.96078431, 
1537303758,28,1919.5,31.37254902,20.78431373,10.58823529,5.882352941,16.07843137, 
1537303760,24,1624,29.80392157,14.11764706,7.450980392,3.137254902,14.11764706, 
1537303761,20,1363,29.80392157,14.11764706,7.450980392,3.137254902,13.7254902, 
1537303763,16,860,29.80392157,27.84313725,14.50980392,4.31372549,14.90196078, 
1537303764,12,856,29.80392157,74.11764706,40.39215686,25.09803922,35.68627451, 
1537303766,17,1163.5,29.80392157,80.78431373,42.74509804,78.03921569,88.62745098, 
1537303767,27,1830.5,29.80392157,121.1764706,64.70588235,78.03921569,30.98039216, 
1537303769,32,2178,29.80392157,28.23529412,15.29411765,7.450980392,18.03921569, 
1537303770,31,2084.5,29.80392157,20.78431373,11.37254902,5.882352941,16.47058824, 
1537303772,27,1817.5,29.80392157,24.31372549,15.29411765,7.058823529,18.03921569, 
1537303773,25,1719.5,29.80392157,47.84313725,25.88235294,12.15686275,22.35294118, 
1537303775,29,1963,29.80392157,45.09803922,24.31372549,10.58823529,21.17647059, 
1537303776,30,2013,29.80392157,13.33333333,7.058823529,3.529411765,14.11764706, 
1537303777,26,1734,29.80392157,13.7254902,7.450980392,2.745098039,13.33333333, 
1537303779,23,1589.5,29.80392157,48.23529412,26.2745098,11.76470588,22.35294118, 
1537303780,27,1854.5,29.80392157,88.23529412,48.23529412,47.05882353,77.64705882, 
1537303782,38,2532,29.80392157,34.90196078,11.37254902,9.411764706,16.07843137, 
1537303783,37,2515,29.80392157,14.11764706,7.843137255,5.098039216,15.68627451, 
1537303785,31,2025.5,29.80392157,14.11764706,7.450980392,4.31372549,14.90196078, 
1537303786,21,1419.5,29.80392157,13.7254902,7.058823529,2.745098039,13.33333333, 
1537303788,21,1477,29.80392157,54.11764706,28.62745098,12.54901961,23.1372549, 
1537303789,26,1786.5,29.80392157,53.7254902,28.23529412,11.76470588,21.96078431, 
1537303790,29,1970.5,29.80392157,40,21.17647059,9.803921569,20.39215686, 
1537303792,28,1911,29.80392157,24.31372549,12.15686275,5.882352941,16.47058824, 
1537303793,25,1702.5,29.80392157,13.7254902,7.058823529,3.137254902,13.7254902, 
1537303795,21,1447,29.80392157,40.39215686,21.17647059,9.019607843,20, 
1537303796,22,1481,29.80392157,40.39215686,20.39215686,8.62745098,18.43137255, 
1537303798,21,1460,29.80392157,21.96078431,10.98039216,5.490196078,15.68627451, 
1537303799,18,1230.5,29.80392157,14.11764706,7.450980392,2.745098039,13.33333333, 
1537303801,13,925.5,29.80392157,25.49019608,12.94117647,3.921568627,14.50980392, 
1537303802,13,974,29.80392157,79.21568627,41.56862745,39.21568627,49.80392157, 
1537303804,18,1217,29.80392157,37.25490196,19.21568627,6.666666667,17.25490196, 
1537303805,20,1370.5,29.80392157,50.19607843,25.88235294,10.19607843,21.17647059, 
1537303807,25,1793,29.80392157,112.1568627,52.94117647,27.45098039,25.49019608, 
1537303808,29,1921,29.80392157,13.33333333,7.058823529,3.529411765,14.11764706, 
1537303809,23,1544.5,29.80392157,14.11764706,7.450980392,3.137254902,13.7254902, 
1537303811,19,1315,29.80392157,21.56862745,12.54901961,5.490196078,16.07843137, 
1537303812,18,1232,29.80392157,13.33333333,7.058823529,2.745098039,13.33333333, 
1537303814,18,1254,29.80392157,13.7254902,7.058823529,2.745098039,13.33333333, 
1537303815,17,1151,29.80392157,20,11.37254902,3.137254902,14.11764706, 
1537303817,16,864,29.80392157,25.49019608,13.33333333,3.921568627,14.50980392, 
1537303818,15,824.5,29.80392157,29.01960784,16.07843137,5.098039216,15.68627451, 
1537303820,16,1119,29.80392157,45.09803922,20,7.450980392,18.03921569, 
1537303821,16,959,29.80392157,23.52941176,12.54901961,3.921568627,14.50980392, 
1537303822,16,1139.5,29.80392157,76.47058824,36.07843137,33.7254902,59.21568627, 
1537303824,24,1674,29.80392157,105.4901961,56.8627451,78.03921569,88.62745098, 
1537303825,38,2686,29.80392157,147.4509804,77.25490196,29.41176471,32.15686275, 
1537303827,42,2882.5,29.80392157,13.7254902,7.843137255,15.29411765,25.88235294, 
1537303828,36,2431,29.80392157,13.7254902,7.450980392,5.098039216,15.68627451, 
1537303829,35,2441,29.80392157,36.8627451,20.78431373,11.37254902,21.96078431, 
1537303831,40,2703.5,29.80392157,19.60784314,8.235294118,5.882352941,16.07843137, 
1537303832,38,2590,29.80392157,14.11764706,7.843137255,5.098039216,15.68627451, 
1537303834,33,2227.5,29.80392157,14.11764706,7.450980392,4.705882353,14.90196078, 
1537303835,23,1586,29.80392157,14.50980392,7.450980392,2.745098039,13.33333333, 
1537303837,20,1481,29.80392157,78.03921569,40.78431373,47.84313725,58.43137255, 
1537303838,30,2222.5,29.80392157,90.19607843,54.11764706,40.39215686,50.98039216, 
1537303840,47,3304.5,29.80392157,158.0392157,94.11764706,57.64705882,33.7254902, 
1537303841,50,3350,29.80392157,13.7254902,8.235294118,17.25490196,26.2745098, 
1537303842,35,2397.5,29.80392157,14.11764706,7.450980392,4.31372549,14.90196078, 
1537303844,23,1522,29.80392157,14.50980392,7.450980392,3.137254902,13.7254902, 
1537303845,25,1737,29.80392157,86.2745098,45.49019608,17.64705882,28.23529412, 
1537303847,35,2405.5,29.80392157,64.31372549,36.07843137,14.50980392,25.09803922, 
1537303848,40,2697.5,29.80392157,13.7254902,7.843137255,5.098039216,15.68627451, 
1537303850,37,2436,29.80392157,14.11764706,7.843137255,5.098039216,15.68627451, 
1537303851,32,2126.5,29.80392157,14.11764706,7.450980392,4.705882353,15.29411765, 
